특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_de_3d,beta,None,Linear SVM,0.7467,0.6786,0.61,0.5671
F_median_3d_8rm,delta,None,Ensemble (Majority Vote),0.84,0.7168,0.58,0.5671
F_de_3d_Fz,all,None,XGBoost,0.8667,0.7278,0.64,0.5671
F_peak_3d_F3,delta,None,Random Forest,0.6467,0.5954,0.57,0.5671
F_de_3d_T7,all,None,Logistic Regression,0.6667,0.6007,0.62,0.5671
F_peak_3d_T7,all,None,Logistic Regression,0.6533,0.6011,0.58,0.5671
F_mean_3d_8rm,theta,norm3,Logistic Regression,0.62,0.5922,0.6,0.5671
F_median_3d_F8,theta,None,Linear SVM,0.6133,0.5294,0.57,0.5671
F_median_3d_F3,all,None,XGBoost,0.9133,0.7101,0.56,0.5671
F_peak_3d_F3,delta,None,Ensemble (Majority Vote),0.6867,0.617,0.56,0.5671
F_median_3d_F8,theta,None,Logistic Regression,0.6133,0.5294,0.57,0.5671
F_peak_3d19,gamma,None,Logistic Regression,0.84,0.7064,0.6,0.5671
F_mean_3d_8rm,theta,norm3,Linear SVM,0.6333,0.5938,0.6,0.5671
F_de_3d_3area,theta,None,Linear SVM,0.62,0.5782,0.56,0.5671
F_median_3d_Fp1,alpha,None,Linear SVM,0.5333,0.529,0.58,0.5671
F_median_3d_Fz,beta,None,Linear SVM,0.5533,0.5186,0.56,0.5671
F_de_3d_8rm,theta,None,Linear SVM,0.72,0.6189,0.59,0.5671
F_peak_3d_F8,theta,None,Logistic Regression,0.58,0.5359,0.57,0.5671
F_peak_3d_F8,theta,None,Linear SVM,0.58,0.5366,0.57,0.5671
F_de_3d_F8,gamma,None,Logistic Regression,0.5133,0.5143,0.58,0.5671
F_mean_3d_F8,alpha,None,KNN,0.9933,0.7115,0.64,0.5657
F_dasm_3d19,delta,None,Linear SVM,0.6733,0.6147,0.55,0.5657
F_dasm_3d_10rm,beta,None,KNN,0.9933,0.748,0.63,0.5657
F_de_3d_F8,gamma,None,Linear SVM,0.5133,0.5149,0.57,0.5657
F_rasm_3d_10rm,all,None,Random Forest,0.9467,0.7469,0.58,0.5657
F_peak_3d19,all,None,Ensemble (Majority Vote),1.0,0.9717,0.59,0.5657
F_median_3d_Fp2,alpha,None,Linear SVM,0.54,0.5285,0.57,0.5657
F_median_3d_C3,theta,None,Ensemble (Majority Vote),0.7,0.608,0.58,0.5657
F_de_3d_8rm,beta,None,Ensemble (Majority Vote),0.8333,0.7437,0.54,0.5657
F_median_3d_Fp2,alpha,None,Logistic Regression,0.5467,0.529,0.57,0.5657
F_peak_3d_F8,all,norm3,Logistic Regression,0.6733,0.5825,0.59,0.5643
F_median_3d,beta,None,Random Forest,0.8733,0.7538,0.61,0.5643
F_peak_3d_F8,all,norm3,Linear SVM,0.6667,0.5834,0.6,0.5643
F_de_3d_F3,all,None,Logistic Regression,0.6333,0.6062,0.59,0.5643
F_dasm_3d19,all,norm3,Linear SVM,0.92,0.7547,0.59,0.5643
F_peak_3d_1area,all,norm3,Linear SVM,0.5867,0.5989,0.58,0.5643
F_de_3d_F3,delta,None,XGBoost,0.6333,0.5768,0.58,0.5643
F_peak_3d_10rm,all,None,Logistic Regression,0.9733,0.832,0.58,0.5643
F_de_3d_F3,delta,None,Random Forest,0.62,0.5887,0.59,0.5643
F_mean_3d_2area,all,None,Linear SVM,0.72,0.631,0.59,0.5643
