특징,밴드,정규화,모델,학습 정확도 (Trial),학습 정확도 (Epoch),테스트 정확도 (Trial),테스트 정확도 (Epoch)
F_mean_3d_F8,delta,norm2,Random Forest,0.7867,0.5959,0.58,0.5443
F_mean_3d_Fp1,all,norm2,KNN,0.9733,0.6975,0.6,0.5443
F_mean_3d_T7,alpha,None,Random Forest,0.6467,0.5791,0.54,0.5443
F_mean_3d_Fz,gamma,None,Linear SVM,0.4933,0.5189,0.54,0.5443
F_peak_3d_Fp1,alpha,None,Logistic Regression,0.5267,0.5218,0.55,0.5443
F_mean_3d_F8,delta,norm3,Random Forest,0.7867,0.5959,0.58,0.5443
F_mean_3d_T8,alpha,norm3,XGBoost,0.6333,0.5485,0.55,0.5429
F_peak_3d_8rm,alpha,None,Logistic Regression,0.6,0.5706,0.57,0.5429
F_peak_3d_C3,gamma,None,Ensemble (Majority Vote),0.74,0.6359,0.58,0.5429
F_rasm_3d_3area,delta,None,Random Forest,0.6533,0.586,0.59,0.5429
F_de_3d_F4,alpha,norm2,KNN,0.9867,0.6894,0.63,0.5429
F_median_3d_3area,gamma,None,Linear SVM,0.5667,0.546,0.55,0.5429
F_peak_3d_Fz,gamma,None,XGBoost,0.64,0.5906,0.58,0.5429
F_de_3d_F4,alpha,norm3,Random Forest,0.7533,0.5929,0.53,0.5429
F_peak_3d_T7,gamma,None,KNN,0.9667,0.7092,0.6,0.5429
F_rasm_3d,gamma,None,XGBoost,0.8933,0.6892,0.62,0.5429
F_rasm_3d_3area,theta,None,KNN,0.9867,0.6883,0.55,0.5429
F_de_3d_1area,alpha,None,Linear SVM,0.4933,0.5218,0.54,0.5429
F_peak_3d_2area,all,None,XGBoost,0.9667,0.7867,0.56,0.5429
F_mean_3d_2area,gamma,None,Linear SVM,0.5733,0.5508,0.58,0.5429
F_mean_3d_T8,alpha,norm2,XGBoost,0.6333,0.5485,0.55,0.5429
F_peak_3d_Fp1,alpha,None,Linear SVM,0.5267,0.5221,0.55,0.5429
F_de_3d_Fp1,theta,norm3,Ensemble (Majority Vote),0.7267,0.6216,0.54,0.5429
F_de_3d_F4,alpha,norm3,KNN,0.9867,0.6894,0.63,0.5429
F_de_3d_F4,alpha,norm2,Random Forest,0.7533,0.5929,0.53,0.5429
F_peak_3d_T7,beta,norm3,KNN,0.9933,0.6929,0.58,0.5429
F_peak_3d_T7,beta,norm2,KNN,0.9933,0.6929,0.58,0.5429
F_de_3d_Fp2,all,norm3,Logistic Regression,0.6067,0.5628,0.53,0.5429
F_de_3d_Fp1,theta,norm2,Ensemble (Majority Vote),0.7267,0.6216,0.54,0.5429
F_mean_3d_F8,delta,norm3,XGBoost,0.6733,0.5595,0.53,0.5414
F_median_3d_Fp1,beta,norm3,KNN,0.9867,0.6913,0.61,0.5414
F_dasm_3d_10rm,beta,norm2,Random Forest,0.9333,0.6646,0.61,0.5414
F_peak_3d_T8,beta,None,Logistic Regression,0.54,0.5326,0.56,0.5414
F_median_3d_3area,theta,norm3,XGBoost,0.7533,0.6037,0.58,0.5414
F_mean_3d_F8,delta,norm2,XGBoost,0.6733,0.5595,0.53,0.5414
F_median_3d_Fp1,beta,norm2,KNN,0.9867,0.6913,0.61,0.5414
F_de_3d_Fp2,alpha,None,Linear SVM,0.52,0.5301,0.54,0.5414
F_de_3d_T7,theta,norm2,KNN,0.9867,0.6933,0.57,0.5414
F_de_3d_2area,all,norm2,KNN,0.98,0.6995,0.58,0.5414
F_median_3d_F3,theta,None,Linear SVM,0.5667,0.5411,0.52,0.5414
F_mean_3d_T8,all,norm2,KNN,0.98,0.6998,0.6,0.5414
F_median_3d_F3,theta,None,Logistic Regression,0.56,0.5395,0.52,0.5414
F_peak_3d_C3,gamma,None,XGBoost,0.6733,0.6037,0.56,0.5414
F_peak_3d_3area,all,None,KNN,0.98,0.8228,0.59,0.5414
F_mean_3d_2area,delta,norm3,Random Forest,0.78,0.612,0.57,0.5414
F_peak_3d_Fp2,all,None,Ensemble (Majority Vote),0.84,0.7011,0.56,0.5414
F_median_3d_T7,gamma,norm3,Random Forest,0.7933,0.5977,0.53,0.5414
F_mean_3d_8rm,alpha,None,Ensemble (Majority Vote),0.7933,0.6857,0.55,0.5414
F_dasm_3d,gamma,norm2,Ensemble (Majority Vote),0.8867,0.6857,0.6,0.5414
F_de_3d_Fp2,all,None,Logistic Regression,0.6267,0.5743,0.57,0.5414
F_peak_3d_Cz,beta,norm3,KNN,0.98,0.6917,0.6,0.5414
F_de_3d_T7,theta,norm3,KNN,0.9867,0.6933,0.57,0.5414
F_peak_3d_Cz,beta,norm2,KNN,0.98,0.6917,0.6,0.5414
F_median_3d_F7,beta,norm2,Ensemble (Majority Vote),0.82,0.6278,0.57,0.5414
F_rasm_3d_10rm,gamma,None,XGBoost,0.8467,0.6644,0.57,0.5414
F_peak_3d_8rm,beta,norm3,Linear SVM,0.58,0.5733,0.57,0.5414
F_median_3d_T7,gamma,norm2,Random Forest,0.7933,0.5977,0.53,0.5414
F_median_3d_F7,beta,norm3,Ensemble (Majority Vote),0.82,0.6278,0.57,0.5414
F_de_3d_Fp1,theta,norm3,KNN,0.9733,0.6809,0.62,0.5414
F_median_3d_Fz,all,norm2,Ensemble (Majority Vote),0.8533,0.6768,0.54,0.5414
F_de_3d_2area,delta,norm3,Linear SVM,0.5733,0.5434,0.54,0.5414
F_de_3d_Fp1,theta,norm2,KNN,0.9733,0.6809,0.62,0.5414
F_rasm_3d,theta,None,Random Forest,0.7867,0.646,0.56,0.5414
F_dasm_3d,beta,norm3,Linear SVM,0.6,0.5678,0.57,0.5414
F_peak_3d_8rm,delta,None,Logistic Regression,0.6733,0.5982,0.56,0.5414
F_median_3d_2area,beta,norm3,Random Forest,0.7333,0.5995,0.58,0.5414
F_dasm_3d19,theta,norm3,KNN,1.0,0.7807,0.59,0.54
F_peak_3d_C4,beta,None,Logistic Regression,0.5333,0.532,0.53,0.54
F_median_3d_Fp2,theta,norm3,KNN,0.9467,0.6701,0.59,0.54
F_median_3d19,alpha,norm3,Ensemble (Majority Vote),0.9067,0.7411,0.55,0.54
F_median_3d_2area,alpha,norm3,KNN,1.0,0.6913,0.6,0.54
F_median_3d_Fp2,theta,norm2,KNN,0.9467,0.6701,0.59,0.54
F_de_3d_2area,theta,norm2,XGBoost,0.62,0.5676,0.59,0.54
F_rasm_3d_8rm,delta,norm3,Random Forest,0.8067,0.6867,0.53,0.54
F_mean_3d_2area,delta,None,KNN,0.9467,0.7011,0.58,0.54
F_dasm_3d_3area,alpha,None,Linear SVM,0.5,0.511,0.58,0.54
F_peak_3d_3area,beta,norm3,Logistic Regression,0.5467,0.5476,0.51,0.54
F_de_3d_Fp2,alpha,None,Logistic Regression,0.5333,0.5294,0.53,0.54
F_dasm_3d_8rm,all,norm3,Ensemble (Majority Vote),0.9067,0.783,0.54,0.54
F_peak_3d_F8,beta,norm3,Random Forest,0.7867,0.5823,0.59,0.54
F_peak_3d_F8,beta,norm2,Random Forest,0.7867,0.5823,0.59,0.54
F_peak_3d_Cz,beta,None,Linear SVM,0.5267,0.5338,0.54,0.54
F_peak_3d_8rm,alpha,None,Linear SVM,0.6533,0.58,0.56,0.54
F_median_3d_C3,gamma,norm3,Ensemble (Majority Vote),0.68,0.6009,0.54,0.54
F_rasm_3d_8rm,theta,None,XGBoost,0.8267,0.6356,0.54,0.54
F_median_3d_C3,gamma,norm2,Ensemble (Majority Vote),0.68,0.6009,0.54,0.54
F_median_3d_10rm,alpha,norm3,XGBoost,0.8267,0.7039,0.56,0.54
F_de_3d_Fp2,all,norm3,Linear SVM,0.6133,0.5628,0.53,0.54
F_rasm_3d_10rm,theta,norm3,Ensemble (Majority Vote),0.8133,0.7159,0.56,0.54
F_median_3d_F3,beta,None,Logistic Regression,0.5,0.5136,0.52,0.54
F_rasm_3d_10rm,theta,norm3,Logistic Regression,0.56,0.5418,0.54,0.54
F_peak_3d_C3,alpha,norm2,KNN,0.9933,0.6924,0.59,0.5386
F_de_3d_1area,theta,norm3,XGBoost,0.5733,0.5648,0.54,0.5386
F_peak_3d_F4,beta,None,Linear SVM,0.4933,0.5108,0.57,0.5386
F_median_3d_F7,beta,norm2,XGBoost,0.5533,0.5524,0.57,0.5386
F_de_3d_2area,delta,None,Linear SVM,0.5933,0.5471,0.55,0.5386
F_mean_3d_Fp2,alpha,None,Logistic Regression,0.52,0.5278,0.54,0.5386
F_peak_3d_C3,gamma,None,Random Forest,0.6867,0.6053,0.57,0.5386
F_peak_3d_Fp2,all,None,Linear SVM,0.6733,0.5986,0.54,0.5386
F_rasm_3d,theta,norm3,Ensemble (Majority Vote),0.84,0.7315,0.59,0.5386
F_rasm_3d,all,None,XGBoost,1.0,0.906,0.6,0.5386
F_median_3d_F7,beta,norm3,XGBoost,0.5533,0.5524,0.57,0.5386
F_median_3d_T7,gamma,norm3,Ensemble (Majority Vote),0.6733,0.6138,0.52,0.5386
F_mean_3d_3area,alpha,norm3,KNN,0.9733,0.7039,0.59,0.5386
F_median_3d_F4,beta,norm3,KNN,0.9933,0.6857,0.61,0.5386
F_median_3d_Fp1,gamma,None,Linear SVM,0.52,0.5193,0.55,0.5386
F_de_3d_1area,theta,norm2,XGBoost,0.5733,0.5648,0.54,0.5386
F_peak_3d_Cz,beta,None,Logistic Regression,0.5333,0.5315,0.55,0.5386
F_dasm_3d,beta,norm3,Logistic Regression,0.6,0.5685,0.58,0.5386
F_median_3d_F4,beta,norm2,KNN,0.9933,0.6857,0.61,0.5386
F_peak_3d_C3,alpha,norm3,KNN,0.9933,0.6924,0.59,0.5386
F_peak_3d_T8,beta,None,Linear SVM,0.5533,0.5354,0.57,0.5386
F_peak_3d_C4,alpha,norm3,KNN,0.9733,0.6791,0.61,0.5386
F_peak_3d_C4,alpha,norm2,KNN,0.9733,0.6791,0.61,0.5386
F_median_3d_8rm,theta,norm3,Ensemble (Majority Vote),0.8133,0.68,0.52,0.5386
F_de_3d19,alpha,None,Logistic Regression,0.7067,0.6354,0.57,0.5386
F_median_3d_T7,gamma,norm2,Ensemble (Majority Vote),0.6733,0.6138,0.52,0.5386
F_mean_3d_1area,alpha,None,Logistic Regression,0.5,0.5223,0.55,0.5386
F_median_3d_F3,beta,None,Linear SVM,0.5067,0.5126,0.52,0.5386
F_peak_3d_8rm,beta,norm3,Ensemble (Majority Vote),0.7867,0.6814,0.6,0.5386
F_peak_3d_Fz,alpha,None,Linear SVM,0.5,0.5166,0.55,0.5386
F_de_3d_8rm,theta,norm3,Linear SVM,0.6533,0.5784,0.56,0.5386
F_dasm_3d_8rm,theta,norm3,XGBoost,0.7067,0.6411,0.57,0.5386
F_de_3d_T7,alpha,None,Linear SVM,0.44,0.4993,0.53,0.5386
F_de_3d_10rm,alpha,norm3,Linear SVM,0.6333,0.5966,0.55,0.5386
F_peak_3d_F8,gamma,None,Logistic Regression,0.4933,0.5133,0.55,0.5386
F_de_3d_Fz,theta,norm3,Random Forest,0.7933,0.5818,0.58,0.5371
F_de_3d_10rm,alpha,None,Logistic Regression,0.62,0.5784,0.55,0.5371
F_de_3d_1area,theta,norm2,Random Forest,0.7933,0.5947,0.58,0.5371
F_de_3d_Fz,theta,norm2,Random Forest,0.7933,0.5818,0.58,0.5371
F_de_3d_2area,delta,norm3,KNN,0.98,0.6995,0.58,0.5371
F_median_3d_C3,all,norm2,KNN,0.9733,0.6853,0.6,0.5371
F_peak_3d_F3,alpha,norm2,Ensemble (Majority Vote),0.6333,0.5949,0.57,0.5371
F_dasm_3d_8rm,all,norm3,Linear SVM,0.76,0.672,0.56,0.5371
F_peak_3d_10rm,beta,norm3,Random Forest,0.8333,0.6782,0.58,0.5371
F_peak_3d,beta,norm3,Linear SVM,0.6467,0.6143,0.53,0.5371
F_de_3d_C3,theta,norm2,Ensemble (Majority Vote),0.66,0.5846,0.53,0.5371
F_de_3d_C4,theta,norm3,Random Forest,0.7733,0.5869,0.62,0.5371
F_de_3d_C3,gamma,None,XGBoost,0.6333,0.5933,0.58,0.5371
F_peak_3d_10rm,beta,norm3,Logistic Regression,0.6533,0.5977,0.55,0.5371
